,file,age,gender,race,service_test,face_detected,gabarito
0,val/1.jpg,3-9,Male,East Asian,False,True,True
1,val/2.jpg,50-59,Female,East Asian,True,True,True
2,val/3.jpg,30-39,Male,White,True,True,True
3,val/4.jpg,20-29,Female,Latino_Hispanic,True,True,True
4,val/5.jpg,20-29,Male,Southeast Asian,False,True,True
5,val/6.jpg,30-39,Male,Latino_Hispanic,False,True,True
6,val/7.jpg,20-29,Male,Black,True,True,True
7,val/8.jpg,3-9,Male,East Asian,False,True,True
8,val/9.jpg,20-29,Male,Southeast Asian,False,False,True
9,val/10.jpg,3-9,Male,Southeast Asian,False,True,True
10,val/11.jpg,more than 70,Female,East Asian,True,True,True
11,val/12.jpg,50-59,Female,East Asian,True,True,True
12,val/13.jpg,40-49,Female,Indian,True,True,True
13,val/14.jpg,20-29,Male,Indian,True,True,True
14,val/15.jpg,30-39,Female,Latino_Hispanic,False,True,True
15,val/16.jpg,50-59,Male,Middle Eastern,True,True,True
16,val/17.jpg,30-39,Male,East Asian,False,False,True
17,val/18.jpg,20-29,Female,White,False,True,True
18,val/19.jpg,40-49,Male,White,False,True,True
19,val/20.jpg,40-49,Female,Middle Eastern,True,True,True
20,val/21.jpg,20-29,Male,East Asian,True,True,True
21,val/22.jpg,40-49,Male,White,False,True,True
22,val/23.jpg,30-39,Female,White,True,False,True
23,val/24.jpg,10-19,Female,East Asian,False,True,True
24,val/25.jpg,20-29,Female,Latino_Hispanic,False,True,True
25,val/26.jpg,30-39,Female,Latino_Hispanic,False,True,True
26,val/27.jpg,20-29,Female,Latino_Hispanic,True,True,True
27,val/28.jpg,20-29,Female,Southeast Asian,True,True,True
28,val/29.jpg,3-9,Female,East Asian,False,True,True
29,val/30.jpg,30-39,Female,Latino_Hispanic,False,True,True
30,val/31.jpg,3-9,Female,Indian,True,True,True
31,val/32.jpg,40-49,Female,Indian,False,True,True
32,val/33.jpg,20-29,Male,Southeast Asian,True,True,True
33,val/34.jpg,3-9,Male,East Asian,False,True,True
34,val/35.jpg,60-69,Male,Black,True,False,True
35,val/36.jpg,50-59,Female,Black,False,True,True
36,val/37.jpg,40-49,Male,Black,True,True,True
37,val/38.jpg,40-49,Male,Middle Eastern,False,True,True
38,val/39.jpg,60-69,Male,Middle Eastern,False,True,True
39,val/40.jpg,50-59,Female,Indian,False,True,True
40,val/41.jpg,3-9,Male,East Asian,False,True,True
41,val/42.jpg,20-29,Female,Indian,False,True,True
42,val/43.jpg,20-29,Female,Latino_Hispanic,False,True,True
43,val/44.jpg,30-39,Female,Latino_Hispanic,False,True,True
44,val/45.jpg,0-2,Male,White,False,True,True
45,val/46.jpg,20-29,Male,East Asian,False,True,True
46,val/47.jpg,40-49,Male,White,True,True,True
47,val/48.jpg,20-29,Female,White,True,True,True
48,val/49.jpg,40-49,Male,White,False,True,True
49,val/50.jpg,20-29,Female,White,True,True,True
50,val/51.jpg,30-39,Male,Middle Eastern,False,True,True
51,val/52.jpg,3-9,Male,Middle Eastern,True,True,True
52,val/53.jpg,50-59,Male,Latino_Hispanic,False,True,True
53,val/54.jpg,20-29,Male,East Asian,False,True,True
54,val/55.jpg,40-49,Male,Latino_Hispanic,False,True,True
55,val/56.jpg,40-49,Male,White,False,True,True
56,val/57.jpg,40-49,Female,East Asian,True,True,True
57,val/58.jpg,3-9,Male,Black,False,True,True
58,val/59.jpg,30-39,Female,White,False,True,True
59,val/60.jpg,10-19,Female,Southeast Asian,True,True,True
60,val/61.jpg,60-69,Male,Black,False,False,True
61,val/62.jpg,3-9,Male,Southeast Asian,True,True,True
62,val/63.jpg,3-9,Female,White,False,True,True
63,val/64.jpg,10-19,Male,East Asian,False,True,True
64,val/65.jpg,40-49,Male,Latino_Hispanic,False,True,True
65,val/66.jpg,30-39,Female,Latino_Hispanic,True,True,True
66,val/67.jpg,40-49,Female,White,True,True,True
67,val/68.jpg,3-9,Female,White,True,True,True
68,val/69.jpg,30-39,Male,Latino_Hispanic,True,True,True
69,val/70.jpg,20-29,Male,Indian,True,True,True
70,val/71.jpg,more than 70,Male,Middle Eastern,True,True,True
71,val/72.jpg,30-39,Male,White,False,True,True
72,val/73.jpg,20-29,Female,Latino_Hispanic,False,True,True
73,val/74.jpg,30-39,Female,Indian,False,True,True
74,val/75.jpg,50-59,Male,Middle Eastern,True,True,True
75,val/76.jpg,20-29,Male,Indian,True,True,True
76,val/77.jpg,40-49,Female,Latino_Hispanic,True,True,True
77,val/78.jpg,30-39,Male,Black,False,False,True
78,val/79.jpg,3-9,Female,Middle Eastern,True,True,True
79,val/80.jpg,30-39,Female,Black,False,False,True
80,val/81.jpg,30-39,Male,Black,False,True,True
81,val/82.jpg,10-19,Male,East Asian,False,True,True
82,val/83.jpg,30-39,Female,White,False,True,True
83,val/84.jpg,40-49,Male,East Asian,False,True,True
84,val/85.jpg,3-9,Female,White,False,True,True
85,val/86.jpg,10-19,Male,Black,False,True,True
86,val/87.jpg,30-39,Male,White,False,True,True
87,val/88.jpg,20-29,Male,Southeast Asian,True,True,True
88,val/89.jpg,30-39,Male,East Asian,False,True,True
89,val/90.jpg,50-59,Male,Middle Eastern,False,True,True
90,val/91.jpg,10-19,Female,Indian,True,True,True
91,val/92.jpg,10-19,Male,White,False,False,True
92,val/93.jpg,20-29,Female,Indian,True,True,True
93,val/94.jpg,50-59,Female,Latino_Hispanic,False,True,True
94,val/95.jpg,50-59,Female,East Asian,True,True,True
95,val/96.jpg,30-39,Male,White,False,True,True
96,val/97.jpg,50-59,Female,Indian,True,True,True
97,val/98.jpg,20-29,Male,East Asian,False,True,True
98,val/99.jpg,20-29,Male,East Asian,True,True,True
99,val/100.jpg,20-29,Female,East Asian,True,True,True
100,val/101.jpg,30-39,Female,East Asian,False,True,True
101,val/102.jpg,20-29,Female,East Asian,False,True,True
102,val/103.jpg,3-9,Male,Southeast Asian,False,True,True
103,val/104.jpg,10-19,Male,Indian,True,True,True
104,val/105.jpg,40-49,Female,Middle Eastern,True,False,True
105,val/106.jpg,20-29,Female,Black,False,True,True
106,val/107.jpg,30-39,Male,Southeast Asian,False,True,True
107,val/108.jpg,10-19,Female,Black,False,True,True
108,val/109.jpg,3-9,Male,Indian,True,True,True
109,val/110.jpg,30-39,Male,Indian,True,True,True
110,val/111.jpg,20-29,Male,Indian,True,True,True
111,val/112.jpg,30-39,Female,Indian,False,True,True
112,val/113.jpg,3-9,Male,Black,False,True,True
113,val/114.jpg,30-39,Female,Latino_Hispanic,False,False,True
114,val/115.jpg,10-19,Male,Middle Eastern,True,True,True
115,val/116.jpg,10-19,Female,White,False,True,True
116,val/117.jpg,3-9,Male,Indian,False,True,True
117,val/118.jpg,30-39,Female,Indian,False,True,True
118,val/119.jpg,20-29,Male,White,True,True,True
119,val/120.jpg,20-29,Female,Black,True,True,True
120,val/121.jpg,20-29,Female,Southeast Asian,True,True,True
121,val/122.jpg,20-29,Male,Black,True,False,True
122,val/123.jpg,20-29,Female,Middle Eastern,True,True,True
123,val/124.jpg,3-9,Male,Indian,False,True,True
124,val/125.jpg,3-9,Female,Black,False,True,True
125,val/126.jpg,40-49,Male,White,False,True,True
126,val/127.jpg,20-29,Female,East Asian,False,True,True
127,val/128.jpg,30-39,Male,East Asian,True,False,True
128,val/129.jpg,20-29,Male,East Asian,True,True,True
129,val/130.jpg,30-39,Female,East Asian,True,True,True
130,val/131.jpg,10-19,Female,Southeast Asian,False,True,True
131,val/132.jpg,30-39,Male,Black,False,False,True
132,val/133.jpg,20-29,Female,Southeast Asian,False,True,True
133,val/134.jpg,30-39,Female,Latino_Hispanic,False,True,True
134,val/135.jpg,50-59,Female,Southeast Asian,False,True,True
135,val/136.jpg,40-49,Female,Indian,False,True,True
136,val/137.jpg,30-39,Male,Black,True,False,True
137,val/138.jpg,20-29,Female,East Asian,False,True,True
138,val/139.jpg,40-49,Female,Latino_Hispanic,True,True,True
139,val/140.jpg,3-9,Male,Southeast Asian,False,True,True
140,val/141.jpg,60-69,Male,Latino_Hispanic,False,True,True
141,val/142.jpg,20-29,Female,White,True,True,True
142,val/143.jpg,20-29,Female,Black,False,True,True
143,val/144.jpg,30-39,Male,White,True,False,True
144,val/145.jpg,3-9,Female,Black,False,True,True
145,val/146.jpg,10-19,Male,Black,True,True,True
146,val/147.jpg,20-29,Male,Black,True,True,True
147,val/148.jpg,30-39,Male,White,False,True,True
148,val/149.jpg,20-29,Female,Southeast Asian,False,True,True
149,val/150.jpg,40-49,Male,Black,False,False,True
150,val/151.jpg,20-29,Female,Southeast Asian,True,True,True
151,val/152.jpg,0-2,Male,Black,True,True,True
152,val/153.jpg,3-9,Female,Latino_Hispanic,False,True,True
153,val/154.jpg,30-39,Male,White,True,True,True
154,val/155.jpg,10-19,Female,Black,False,True,True
155,val/156.jpg,60-69,Female,Black,False,False,True
156,val/157.jpg,30-39,Male,Middle Eastern,False,True,True
157,val/158.jpg,20-29,Female,White,False,True,True
158,val/159.jpg,20-29,Female,White,False,True,True
159,val/160.jpg,30-39,Male,Middle Eastern,False,True,True
160,val/161.jpg,30-39,Female,Middle Eastern,True,True,True
161,val/162.jpg,30-39,Male,East Asian,True,True,True
162,val/163.jpg,40-49,Male,East Asian,True,True,True
163,val/164.jpg,0-2,Male,Middle Eastern,False,True,True
164,val/165.jpg,3-9,Male,Black,False,True,True
165,val/166.jpg,10-19,Male,Black,True,True,True
166,val/167.jpg,10-19,Female,Black,False,True,True
167,val/168.jpg,20-29,Female,Middle Eastern,True,True,True
168,val/169.jpg,50-59,Male,Southeast Asian,False,True,True
169,val/170.jpg,20-29,Female,East Asian,False,True,True
170,val/171.jpg,30-39,Female,Black,False,True,True
171,val/172.jpg,20-29,Female,Latino_Hispanic,False,True,True
172,val/173.jpg,more than 70,Male,White,False,True,True
173,val/174.jpg,10-19,Male,White,True,False,True
